City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,camana,-16.6228,-72.7111,21.350000000000023,81,87,3.63,PE,2023-04-18
63,al bardiyah,31.7561,25.0865,15.950000000000045,75,92,5.35,LY,2023-04-18
64,jurilovca,44.7667,28.8667,10.050000000000011,86,100,5.86,RO,2023-04-18
65,college,64.8569,-147.8028,-1.6200000000000045,58,100,6.17,US,2023-04-18
66,georgetown,5.4112,100.3354,26.960000000000036,93,20,1.03,MY,2023-04-18
67,piracuruca,-3.9281,-41.7092,23.960000000000036,95,99,1.66,BR,2023-04-18
68,vorgashor,67.5833,63.95,-21.20999999999998,100,32,3.1,RU,2023-04-18
69,thompson,55.7435,-97.8558,1.0900000000000318,32,20,4.63,CA,2023-04-18
70,edinburgh of the seven seas,-37.0676,-12.3116,15.400000000000034,61,96,6.47,SH,2023-04-18
71,kadnikov,59.5022,40.338,2.900000000000034,94,56,2.51,RU,2023-04-18
72,avarua,-21.2078,-159.775,23.03000000000003,94,75,6.17,CK,2023-04-18
73,olonkinbyen,70.9221,-8.7187,0.9200000000000159,94,91,6.05,SJ,2023-04-18
74,kingston,17.997,-76.7936,27.53000000000003,80,75,4.63,JM,2023-04-18
75,nova sintra,14.8667,-24.7167,20.160000000000025,78,72,7.66,CV,2023-04-18
76,boca suno,-0.7167,-77.1333,24.700000000000045,93,97,1.44,EC,2023-04-18
77,papatowai,-46.5619,169.4708,13.330000000000041,83,95,4.36,NZ,2023-04-18
78,vadso,70.0744,29.7487,4.490000000000009,81,100,6.17,NO,2023-04-18
79,sedziszow,50.5659,20.0556,10.04000000000002,82,99,4.16,PL,2023-04-18
80,khamis mushait,18.3064,42.7292,16.340000000000032,67,0,0.0,SA,2023-04-18
81,greymouth,-42.4667,171.2,16.850000000000023,78,68,1.89,NZ,2023-04-18
82,glace bay,46.1969,-59.957,3.830000000000041,95,100,4.63,CA,2023-04-18
83,hamilton,39.1834,-84.5333,17.689999999999998,32,0,5.14,US,2023-04-18
84,tiksi,71.6872,128.8694,-17.0,100,100,2.75,RU,2023-04-18
85,orchard homes,46.8633,-114.0484,5.330000000000041,68,100,8.49,US,2023-04-18
86,kindia,10.0569,-12.8658,25.120000000000005,74,99,1.32,GN,2023-04-18
87,minas de marcona,-15.2119,-75.1103,16.660000000000025,77,76,7.02,PE,2023-04-18
88,mossel bay,-34.1831,22.146,15.960000000000036,86,2,2.79,ZA,2023-04-18
89,yellowknife,62.456,-114.3525,7.2900000000000205,39,40,8.23,CA,2023-04-18
90,lebu,-37.6167,-73.65,13.370000000000005,89,100,0.85,CL,2023-04-18
